PRD00000|BUNDLE|PRD05975,PRD01084,PRD02403,PRD03859
PRD00001|BUNDLE|PRD01476,PRD09589,PRD01157
PRD00002|PRODUCT|Small blue bus,29.99,15
PRD00003|BUNDLE|PRD02209,PRD00002
PRD00004|PRODUCT|So black box,60.99,0
PRD00005|BUNDLE|PRD07148,PRD03623,PRD07388
PRD00006|PRODUCT|So french pen,29.99,18
PRD00007|PRODUCT|Much french shirt,69.99,9
PRD00008|PRODUCT|So polish car,0.99,2
PRD00009|PRODUCT|Windy shirt,20.99,13
PRD00010|PRODUCT|Closed bag,89.99,1
PRD00011|PRODUCT|Very blue bus,0.99,7
PRD00012|BUNDLE|PRD08548,PRD09819
PRD00013|PRODUCT|Much wooden bike,40.99,5
PRD00014|PRODUCT|Much metal pen,49.99,6
PRD00015|BUNDLE|PRD09476,PRD00257,PRD08937,PRD06417
PRD00016|PRODUCT|Big closed desk,9.99,14
PRD00017|PRODUCT|Red hat,40.99,19
PRD00018|PRODUCT|Paper socket,20.99,19
PRD00019|BUNDLE|PRD04185,PRD04573,PRD01457
PRD00020|PRODUCT|Big yellow bag,69.99,4
PRD00021|PRODUCT|Very french goose,0.99,18
PRD00022|PRODUCT|Big purple stairs,89.99,9
PRD00023|BUNDLE|PRD08133,PRD01630,PRD02392,PRD05951
PRD00024|PRODUCT|Opened potato,60.99,2
PRD00025|BUNDLE|PRD08493,PRD01978,PRD01544
PRD00026|PRODUCT|Very closed cherry,20.99,0
PRD00027|PRODUCT|Wooden pen,20.99,1
PRD00028|PRODUCT|Big purple key,60.99,5
PRD00029|PRODUCT|Closed pen,80.99,11
PRD00030|PRODUCT|So stone socket,80.99,15
PRD00031|PRODUCT|Very black stairs,9.99,8
PRD00032|PRODUCT|Hard ball,80.99,17
PRD00033|BUNDLE|PRD05703,PRD02827
PRD00034|PRODUCT|Hard bucket,20.99,4
PRD00035|PRODUCT|Russian cherry,100.99,7
PRD00036|PRODUCT|Small red stairs,100.99,5
PRD00037|PRODUCT|Closed tomato,20.99,5
PRD00038|PRODUCT|So red ball,20.99,13
PRD00039|PRODUCT|Big russian nut,69.99,0
PRD00040|BUNDLE|PRD01021,PRD09417
PRD00041|PRODUCT|Green cherry,80.99,7
PRD00042|PRODUCT|Big soft phone,89.99,6
PRD00043|PRODUCT|Stone socks,9.99,13
PRD00044|PRODUCT|Very green cherry,0.99,1
PRD00045|PRODUCT|Big red apple,0.99,4
PRD00046|PRODUCT|Very orange flower,20.99,0
PRD00047|PRODUCT|Small chinese bus,40.99,13
PRD00048|PRODUCT|So chinese ball,40.99,18
PRD00049|PRODUCT|So magenta apple,80.99,5
PRD00050|BUNDLE|PRD00450,PRD01497,PRD05982
PRD00051|BUNDLE|PRD05175,PRD04379,PRD06014
